Instance MapleLCMDistChrBT MapleLCMDistChrBt-DL-v1 MapleLCMDistChrBt-DL-v2
mp1-21.2.cnf 50.0591 13.6431 13.9238
g2-ak128astepbg1btisc.cnf 61.9019 46.5652 53.9488
mp1-blockpuzzle_5x10_s2_free5.cnf 122.901 211.462 216.435
g2-T155.1.0.cnf 157.832 172.975 166.428
g2-UTI-20-5p1.cnf 169.71 175.117 189.039
mp1-blockpuzzle_8x8_s1_free4.cnf 174.022 146.318 154.188
g2-mizh-md5-48-5.cnf 177.244 356.279 342.286
mp1-21.1.cnf 54.7918 21.8473 22.5312
g2-UCG-20-5p1.cnf 236.332 297.909 294.276
mp1-21.9.cnf 83.1404 45.2282 44.8975
g2-mult1.c.50.smt2-cvc4.cnf 70.4824 89.0254 86.2927
mp1-blockpuzzle_7x10_s9_free6.cnf 97.1958 86.6946 91.8551
mp1-squ_any_s09x07_c27_sinx_UNS.cnf 332.159 357.085 361.182
mp1-ps_5000_21250_3_0_0.8_0_1.55_2.cnf 549.576 555.692 545.571
g2-hwmcc15deep-oski15a14b04s-k16.cnf 423.038 679.408 488.014
mp1-klieber2017s-1600-022-eq.cnf 791.244 792.535 794.254
mp1-klieber2017s-2000-022-eq.cnf 938.153 930.047 940.355
mp1-klieber2017s-0490-023-t12.cnf 23.4116 81.3136 80.5133
mp1-klieber2017s-0500-022-t12.cnf 237.411 100.84 97.0607
g2-T110.2.1.cnf 949.568 833.62 843.295
g2-T103.2.1.cnf 1347.52 1343.86 1267.58
g2-modgen-n200-m90860q08c40-29667.cnf 660.887 681.812 692.051
mp1-9_3.cnf 86.7412 76.5589 80.4456
g2-T85.2.1.cnf 423.908 423.202 467.385
g2-T49.2.0.cnf 1908.28 3212.34 2673.29
g2-ak128paralbg1sbisc.cnf 4.98803 4.64173 5.15665
mp1-rubikcube212.cnf 2316.48 2188.06 2297.05
mp1-22.9.cnf 2410 2401.42 2295.78
mp1-9_24.cnf 2551.44 5000.24 5000.02
g2-hwmcc15deep-oski15a14b30s-k24.cnf 2795.12 3411.97 3933.87
g2-T97.2.1.cnf 3082.74 2902.31 2887.44
g2-T169.2.0.cnf 345.537 281.126 275.577
g2-hwmcc15deep-6s188-k44.cnf 3191.51 4776.86 3695.42
mp1-rubikcube601.cnf 215.983 198.347 196.683
g2-hwmcc15deep-intel032-k84.cnf 3498.72 3363.39 3371.93
g2-T99.2.1.cnf 3583.75 5000.21 5000.18
mp1-blockpuzzle_7x10_s10_free4.cnf 181.954 158.782 154.507
mp1-22.3.cnf 342.982 5000.01 5000.01
mp1-9_44.cnf 4022.64 2872.2 3124.15
mp1-qpr-bmp280-driver-14.cnf 2503.06 6.6743 6.79382
mp1-21.5.cnf 48.2487 244.056 248.684
g2-hwmcc15deep-6s44-k38.cnf 2920.9 2740.39 3071.42
g2-hwmcc15deep-oski15a10b10s-k20.cnf 4414.34 5000.01 4712.05
mp1-9_9.cnf 289.78 575.512 585.12
g2-ak128boothbg2msisc.cnf 4765.84 5000.03 5000.01
mp1-rubikcube101.cnf 298.359 284.817 284.529
g2-ak128modasbg1msisc.cnf 7.32525 9.7005 7.3819
mp1-ps_5000_21250_3_0_0.8_0_1.55_4.cnf 5000.09 5000.01 5000.01
mp1-24.7.cnf 5000.09 5000.01 5000.02
mp1-klieber2017s-0300-033-t12.cnf 5000.09 3194.53 2372.95
g2-hwmcc15deep-6s399b03-k02.cnf 5000.11 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.7_0_1.45_4.cnf 5000.13 5000.01 5000.02
mp1-ps_5000_21250_3_0_0.8_0_1.60_0.cnf 5000.12 5000.01 5000.1
g2-gss-38-s100.cnf 5000.1 5000.01 5000.1
mp1-24.9.cnf 5000.12 5000.02 5000.01
mp1-23.8.cnf 5000.12 5000.01 5000.02
g2-ak128diagobg2asaig.cnf 5000.09 5000.02 5000.01
g2-hwmcc15deep-bobpcihm-k33.cnf 5000.1 5000.01 5000.02
g2-hwmcc15deep-bobpcihm-k32.cnf 5000.09 5000.03 5000.01
g2-T133.2.1.cnf 5000.14 5000.02 5000.08
g2-hwmcc15deep-bob12s02-k17.cnf 5000.14 5000.01 5000.04
g2-ak128modbtbg1asisc.cnf 44.4459 33.5787 37.5498
g2-ak128boothbg1btisc.cnf 50.5248 28.9747 30.062
mp1-ps_5000_21250_3_0_0.7_0_1.45_6.cnf 5000 5000.01 5000.01
mp1-23.7.cnf 5000 5000.13 5000.01
mp1-blockpuzzle_5x10_s7_free4.cnf 127.595 134.136 138.202
mp1-9_14.cnf 5000 1975.56 1989.91
mp1-blockpuzzle_5x10_s8_free3.cnf 144.889 151.4 152.312
mp1-klieber2017s-0490-024-t12.cnf 214.657 316.501 328.621
g2-T106.2.0.cnf 4935.87 5000.04 5000.13
mp1-blockpuzzle_9x9_s4_free3.cnf 305.29 449.7 465.625
g2-T118.2.1.cnf 702.599 713.579 748.157
mp1-21.6.cnf 33.1955 30.0107 29.7341
g2-hwmcc15deep-6s188-k46.cnf 5000.01 5000.05 5000.02
mp1-bsat201-707.cnf 162.735 155.833 152.186
mp1-23.5.cnf 5000.01 5000.01 5000.01
g2-modgen-n200-m90860q08c40-13698.cnf 192.342 358.999 367.687
g2-T154.1.0.cnf 180.205 167.02 187.775
mp1-bsat180-648.cnf 56.0426 47.2525 48.5802
mp1-ps_5000_21250_3_0_0.6_0_1.45_4.cnf 5000.01 5000.01 5000.08
mp1-23.3.cnf 5000.01 5000.01 5000.01
mp1-klieber2017s-1200-023-eq.cnf 1490.84 1434.91 1389.52
g2-T96.1.1.cnf 2033.3 996.111 983.617
g2-ak128diagodiagoisc.cnf 5000.01 5000.01 5000.01
g2-ak128astepbg2msaig.cnf 5000.02 5001.52 5000.02
g2-UR-20-5p1.cnf 359.634 324.062 360.708
mp1-9_4.cnf 5000.01 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.6_0_1.45_2.cnf 5000.02 5000.01 5000.02
mp1-rubikcube812.cnf 3041.56 2107.07 2163.87
g2-hwmcc15deep-beemhanoi4b1-k37.cnf 5000.01 5000.01 5000.02
mp1-24.2.cnf 5000.02 5000.01 5000.02
mp1-klieber2017s-1000-024-eq.cnf 2120.97 2064.36 2105.81
mp1-blockpuzzle_7x10_s7_free8.cnf 2853.63 5000.02 5000.01
mp1-21.0.cnf 40.1077 58.3384 57.6136
mp1-9_12.cnf 1051.03 163.443 161.809
mp1-24.6.cnf 5000.01 5000.01 5000.01
mp1-24.4.cnf 5000.01 5000.07 5000.02
mp1-22.2.cnf 177.414 5000.25 5000.02
mp1-21.7.cnf 44.7741 41.1291 40.7414
mp1-squ_ali_s10x10_c39_abio_SAT.cnf 1188.16 51.6683 52.6416
mp1-ps_5000_21250_3_0_0.6_0_1.45_8.cnf 5000.01 5000.01 5000.02
mp1-klieber2017s-0300-035-t12.cnf 4020.45 4461.39 4652.2
g2-mizh-md5-47-3.cnf 462.39 1359.67 1336.87
mp1-ps_5000_21250_3_0_0.8_0_1.70_6.cnf 5000.02 5000.02 5000.01
mp1-ps_5000_21250_3_0_0.7_0_1.50_8.cnf 5000 5000.01 5000.11
g2-mizh-md5-47-5.cnf 175.466 801.908 763.385
mp1-rubikcube220.cnf 5000.01 5000.02 5000.01
mp1-rubikcube312.cnf 4424.6 3124.93 2970.31
mp1-9_11.cnf 51.4 13.4918 13.7631
g2-hwmcc15deep-6s44-k40.cnf 3333.7 3125.2 3350.09
g2-hwmcc15deep-6s516r-k17.cnf 2349.04 2393.3 2145.68
g2-hwmcc15deep-beemcmbrdg7f2-k32.cnf 4540.17 4563.79 4515.55
mp1-21.3.cnf 51.1669 29.8278 29.0562
g2-ak128diagobg1btaig.cnf 79.2943 80.3166 81.6034
mp1-9_38.cnf 391.829 97.7411 101.723
mp1-qpr-bmp280-driver-5.cnf 11.8869 6.81694 6.93729
g2-hwmcc15deep-6s105-k35.cnf 1386.52 1570.74 1688.37
mp1-klieber2017s-0300-032-t12.cnf 3806.13 2959.96 2656.46
mp1-rubikcube120.cnf 5000.01 5000.02 5000.02
mp1-blockpuzzle_5x10_s5_free3.cnf 104.165 102.461 106.399
g2-ak128astepbg2asisc.cnf 5000.01 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.8_0_1.55_6.cnf 5000 5000.02 5000.11
mp1-23.4.cnf 5000.01 5000.24 5000.02
mp1-Nb5T15.cnf 5000 583.311 582.681
mp1-rubikcube031.cnf 5000 5000.02 5000.01
mp1-23.1.cnf 5000.01 5000.01 5000.01
g2-gss-22-s100.cnf 5000.01 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.7_0_1.50_6.cnf 5000.01 5000.02 5000.01
mp1-rubikcube012.cnf 5000 5000.25 5000.01
mp1-rubikcube401.cnf 522.646 447.486 447.511
g2-gss-24-s100.cnf 5000.01 5000.02 5000.01
g2-gss-26-s100.cnf 5000.01 5000.26 5000.01
g2-ak128modasbg1sbisc.cnf 59.8027 49.9057 48.5649
mp1-ps_5000_21250_3_0_0.8_0_1.70_2.cnf 5000.02 5000.24 5000.02
g2-T58.2.0.cnf 231.024 214.264 214.827
mp1-9_1.cnf 480.45 316.414 316.796
g2-T50.2.0.cnf 2467.19 2212.97 2227
mp1-blockpuzzle_5x12_s6_free3.cnf 175.296 223.57 231.155
g2-T65.2.1.cnf 597.217 670.651 610.784
mp1-22.6.cnf 606.709 559.207 556.697
mp1-ps_5000_21250_3_0_0.8_0_1.60_8.cnf 5000.01 5000.01 5000.01
g2-hwmcc15deep-6s341r-k16.cnf 952.966 518.328 522.464
mp1-rubikcube701.cnf 349 364.099 356.958
g2-T141.1.0.cnf 337.98 309.935 291.265
mp1-Nb6T27.cnf 292.209 124.333 135.697
mp1-Nb6T29.cnf 227.802 119.311 124.845
g2-ak128modbtbg2msisc.cnf 4114.44 5000.02 3130.32
mp1-Nb5T06.cnf 68.1191 69.752 67.8136
g2-hwmcc15deep-6s340rb63-k16.cnf 164.851 305.587 302.349
mp1-squ_any_s09x07_c27_sinz_UNS.cnf 374.738 269.741 269.234
g2-ak128modbtbg1asaig.cnf 70.6447 81.2306 78.5008
mp1-21.4.cnf 56.5567 29.266 30.7747
mp1-rubikcube912.cnf 2065.21 1854.76 1895.47
